Welcome
SampleRate (Hz): Base: A0 0 27.5Hz, to A0, 4096Hz 0x1000
Base: B0 2 30.8677Hz, to A0, 3649.12Hz 0xe41
Base: B0 2 30.8677Hz, to A♯0, 3866.11Hz 0xf1a
Base: B0 2 30.8677Hz, to B0, 4096Hz 0x1000
Base: B0 2 30.8677Hz, to C1, 4339.56Hz 0x10f4
Base: B0 2 30.8677Hz, to C♯1, 4597.6Hz 0x11f6
Base: B0 2 30.8677Hz, to D1, 4870.99Hz 0x1307
Base: B0 2 30.8677Hz, to D♯1, 5160.64Hz 0x1429
Base: B0 2 30.8677Hz, to E1, 5467.5Hz 0x155b
Base: B0 2 30.8677Hz, to F1, 5792.62Hz 0x16a1
Base: B0 2 30.8677Hz, to F♯1, 6137.07Hz 0x17f9
Base: B0 2 30.8677Hz, to G1, 6501.99Hz 0x1966
Base: B0 2 30.8677Hz, to G♯1, 6888.63Hz 0x1ae9
Base: B0 2 30.8677Hz, to A1, 7298.24Hz 0x1c82
Base: B0 2 30.8677Hz, to A♯1, 7732.22Hz 0x1e34
Base: B0 2 30.8677Hz, to B1, 8192Hz 0x2000
Base: B0 2 30.8677Hz, to C2, 8679.12Hz 0x21e7
Base: B0 2 30.8677Hz, to C♯2, 9195.22Hz 0x23eb
Base: B0 2 30.8677Hz, to D2, 9741.99Hz 0x260e
Base: B0 2 30.8677Hz, to D♯2, 10321.3Hz 0x2851
Base: B0 2 30.8677Hz, to E2, 10935Hz 0x2ab7
Base: B0 2 30.8677Hz, to F2, 11585.2Hz 0x2d41
Base: B0 2 30.8677Hz, to F♯2, 12274.1Hz 0x2ff2
Base: B0 2 30.8677Hz, to G2, 13004Hz 0x32cc
Base: B0 2 30.8677Hz, to G♯2, 13777.2Hz 0x35d1
Base: B0 2 30.8677Hz, to A2, 14596.5Hz 0x3904
Base: B0 2 30.8677Hz, to A♯2, 15464.4Hz 0x3c68
Base: B0 2 30.8677Hz, to B2, 16384Hz 0x3fff
Base: C1 3 32.7032Hz, to A0, 3444.31Hz 0xd74
Base: C1 3 32.7032Hz, to A♯0, 3649.12Hz 0xe41
Base: C1 3 32.7032Hz, to B0, 3866.11Hz 0xf1a
Base: C1 3 32.7032Hz, to C1, 4096Hz 0x1000
Base: C1 3 32.7032Hz, to C♯1, 4339.56Hz 0x10f4
Base: C1 3 32.7032Hz, to D1, 4597.6Hz 0x11f6
Base: C1 3 32.7032Hz, to D♯1, 4870.99Hz 0x1307
Base: C1 3 32.7032Hz, to E1, 5160.63Hz 0x1429
Base: C1 3 32.7032Hz, to F1, 5467.5Hz 0x155b
Base: C1 3 32.7032Hz, to F♯1, 5792.62Hz 0x16a1
Base: C1 3 32.7032Hz, to G1, 6137.06Hz 0x17f9
Base: C1 3 32.7032Hz, to G♯1, 6502Hz 0x1966
Base: C1 3 32.7032Hz, to A1, 6888.62Hz 0x1ae9
Base: C1 3 32.7032Hz, to A♯1, 7298.24Hz 0x1c82
Base: C1 3 32.7032Hz, to B1, 7732.22Hz 0x1e34
Base: C1 3 32.7032Hz, to C2, 8192Hz 0x2000
Base: C1 3 32.7032Hz, to C♯2, 8679.12Hz 0x21e7
Base: C1 3 32.7032Hz, to D2, 9195.21Hz 0x23eb
Base: C1 3 32.7032Hz, to D♯2, 9741.98Hz 0x260e
Base: C1 3 32.7032Hz, to E2, 10321.3Hz 0x2851
Base: C1 3 32.7032Hz, to F2, 10935Hz 0x2ab7
Base: C1 3 32.7032Hz, to F♯2, 11585.2Hz 0x2d41
Base: C1 3 32.7032Hz, to G2, 12274.1Hz 0x2ff2
Base: C1 3 32.7032Hz, to G♯2, 13004Hz 0x32cc
Base: C1 3 32.7032Hz, to A2, 13777.2Hz 0x35d1
Base: C1 3 32.7032Hz, to A♯2, 14596.5Hz 0x3904
Base: C1 3 32.7032Hz, to B2, 15464.5Hz 0x3c68
Base: C1 3 32.7032Hz, to C3, 16384Hz 0x3fff
Base: C♯1 4 34.6478Hz, to A0, 3251Hz 0xcb3
Base: C♯1 4 34.6478Hz, to A♯0, 3444.31Hz 0xd74
Base: C♯1 4 34.6478Hz, to B0, 3649.12Hz 0xe41
Base: C♯1 4 34.6478Hz, to C1, 3866.11Hz 0xf1a
Base: C♯1 4 34.6478Hz, to C♯1, 4096Hz 0x1000
Base: C♯1 4 34.6478Hz, to D1, 4339.56Hz 0x10f4
Base: C♯1 4 34.6478Hz, to D♯1, 4597.61Hz 0x11f6
Base: C♯1 4 34.6478Hz, to E1, 4870.99Hz 0x1307
Base: C♯1 4 34.6478Hz, to F1, 5160.64Hz 0x1429
Base: C♯1 4 34.6478Hz, to F♯1, 5467.51Hz 0x155c
Base: C♯1 4 34.6478Hz, to G1, 5792.62Hz 0x16a1
Base: C♯1 4 34.6478Hz, to G♯1, 6137.07Hz 0x17f9
Base: C♯1 4 34.6478Hz, to A1, 6502Hz 0x1966
Base: C♯1 4 34.6478Hz, to A♯1, 6888.63Hz 0x1ae9
Base: C♯1 4 34.6478Hz, to B1, 7298.25Hz 0x1c82
Base: C♯1 4 34.6478Hz, to C2, 7732.23Hz 0x1e34
Base: C♯1 4 34.6478Hz, to C♯2, 8192.01Hz 0x2000
Base: C♯1 4 34.6478Hz, to D2, 8679.13Hz 0x21e7
Base: C♯1 4 34.6478Hz, to D♯2, 9195.21Hz 0x23eb
Base: C♯1 4 34.6478Hz, to E2, 9741.99Hz 0x260e
Base: C♯1 4 34.6478Hz, to F2, 10321.3Hz 0x2851
Base: C♯1 4 34.6478Hz, to F♯2, 10935Hz 0x2ab7
Base: C♯1 4 34.6478Hz, to G2, 11585.3Hz 0x2d41
Base: C♯1 4 34.6478Hz, to G♯2, 12274.1Hz 0x2ff2
Base: C♯1 4 34.6478Hz, to A2, 13004Hz 0x32cc
Base: C♯1 4 34.6478Hz, to A♯2, 13777.3Hz 0x35d1
Base: C♯1 4 34.6478Hz, to B2, 14596.5Hz 0x3905
Base: C♯1 4 34.6478Hz, to C3, 15464.5Hz 0x3c68
Base: C♯1 4 34.6478Hz, to C♯3, 16384Hz 0x3fff
Base: D1 5 36.7081Hz, to A0, 3068.53Hz 0xbfd
Base: D1 5 36.7081Hz, to A♯0, 3250.99Hz 0xcb3
Base: D1 5 36.7081Hz, to B0, 3444.31Hz 0xd74
Base: D1 5 36.7081Hz, to C1, 3649.12Hz 0xe41
Base: D1 5 36.7081Hz, to C♯1, 3866.11Hz 0xf1a
Base: D1 5 36.7081Hz, to D1, 4096Hz 0x1000
Base: D1 5 36.7081Hz, to D♯1, 4339.56Hz 0x10f4
Base: D1 5 36.7081Hz, to E1, 4597.6Hz 0x11f6
Base: D1 5 36.7081Hz, to F1, 4870.99Hz 0x1307
Base: D1 5 36.7081Hz, to F♯1, 5160.64Hz 0x1429
Base: D1 5 36.7081Hz, to G1, 5467.5Hz 0x155c
Base: D1 5 36.7081Hz, to G♯1, 5792.62Hz 0x16a1
Base: D1 5 36.7081Hz, to A1, 6137.07Hz 0x17f9
Base: D1 5 36.7081Hz, to A♯1, 6502Hz 0x1966
Base: D1 5 36.7081Hz, to B1, 6888.62Hz 0x1ae9
Base: D1 5 36.7081Hz, to C2, 7298.24Hz 0x1c82
Base: D1 5 36.7081Hz, to C♯2, 7732.22Hz 0x1e34
Base: D1 5 36.7081Hz, to D2, 8192Hz 0x2000
Base: D1 5 36.7081Hz, to D♯2, 8679.12Hz 0x21e7
Base: D1 5 36.7081Hz, to E2, 9195.21Hz 0x23eb
Base: D1 5 36.7081Hz, to F2, 9741.99Hz 0x260e
Base: D1 5 36.7081Hz, to F♯2, 10321.3Hz 0x2851
Base: D1 5 36.7081Hz, to G2, 10935Hz 0x2ab7
Base: D1 5 36.7081Hz, to G♯2, 11585.2Hz 0x2d41
Base: D1 5 36.7081Hz, to A2, 12274.1Hz 0x2ff2
Base: D1 5 36.7081Hz, to A♯2, 13004Hz 0x32cc
Base: D1 5 36.7081Hz, to B2, 13777.3Hz 0x35d1
Base: D1 5 36.7081Hz, to C3, 14596.5Hz 0x3905
Base: D1 5 36.7081Hz, to C♯3, 15464.4Hz 0x3c68
Base: D1 5 36.7081Hz, to D3, 16384Hz 0x3fff
Base: D♯1 6 38.8909Hz, to A0, 2896.31Hz 0xb50
Base: D♯1 6 38.8909Hz, to A♯0, 3068.53Hz 0xbfd
Base: D♯1 6 38.8909Hz, to B0, 3250.99Hz 0xcb3
Base: D♯1 6 38.8909Hz, to C1, 3444.31Hz 0xd74
Base: D♯1 6 38.8909Hz, to C♯1, 3649.12Hz 0xe41
Base: D♯1 6 38.8909Hz, to D1, 3866.11Hz 0xf1a
Base: D♯1 6 38.8909Hz, to D♯1, 4096Hz 0x1000
Base: D♯1 6 38.8909Hz, to E1, 4339.55Hz 0x10f4
Base: D♯1 6 38.8909Hz, to F1, 4597.6Hz 0x11f6
Base: D♯1 6 38.8909Hz, to F♯1, 4870.99Hz 0x1307
Base: D♯1 6 38.8909Hz, to G1, 5160.63Hz 0x1429
Base: D♯1 6 38.8909Hz, to G♯1, 5467.5Hz 0x155c
Base: D♯1 6 38.8909Hz, to A1, 5792.61Hz 0x16a1
Base: D♯1 6 38.8909Hz, to A♯1, 6137.06Hz 0x17f9
Base: D♯1 6 38.8909Hz, to B1, 6501.99Hz 0x1966
Base: D♯1 6 38.8909Hz, to C2, 6888.62Hz 0x1ae9
Base: D♯1 6 38.8909Hz, to C♯2, 7298.24Hz 0x1c82
Base: D♯1 6 38.8909Hz, to D2, 7732.21Hz 0x1e34
Base: D♯1 6 38.8909Hz, to D♯2, 8191.99Hz 0x2000
Base: D♯1 6 38.8909Hz, to E2, 8679.12Hz 0x21e7
Base: D♯1 6 38.8909Hz, to F2, 9195.21Hz 0x23eb
Base: D♯1 6 38.8909Hz, to F♯2, 9741.98Hz 0x260e
Base: D♯1 6 38.8909Hz, to G2, 10321.3Hz 0x2851
Base: D♯1 6 38.8909Hz, to G♯2, 10935Hz 0x2ab7
Base: D♯1 6 38.8909Hz, to A2, 11585.2Hz 0x2d41
Base: D♯1 6 38.8909Hz, to A♯2, 12274.1Hz 0x2ff2
Base: D♯1 6 38.8909Hz, to B2, 13004Hz 0x32cc
Base: D♯1 6 38.8909Hz, to C3, 13777.3Hz 0x35d1
Base: D♯1 6 38.8909Hz, to C♯3, 14596.4Hz 0x3904
Base: D♯1 6 38.8909Hz, to D3, 15464.4Hz 0x3c68
Base: D♯1 6 38.8909Hz, to D♯3, 16383.9Hz 0x3fff
Base: E1 7 41.2034Hz, to A0, 2733.75Hz 0xaae
Base: E1 7 41.2034Hz, to A♯0, 2896.31Hz 0xb50
Base: E1 7 41.2034Hz, to B0, 3068.54Hz 0xbfd
Base: E1 7 41.2034Hz, to C1, 3251Hz 0xcb3
Base: E1 7 41.2034Hz, to C♯1, 3444.31Hz 0xd74
Base: E1 7 41.2034Hz, to D1, 3649.13Hz 0xe41
Base: E1 7 41.2034Hz, to D♯1, 3866.12Hz 0xf1a
Base: E1 7 41.2034Hz, to E1, 4096Hz 0x1000
Base: E1 7 41.2034Hz, to F1, 4339.56Hz 0x10f4
Base: E1 7 41.2034Hz, to F♯1, 4597.61Hz 0x11f6
Base: E1 7 41.2034Hz, to G1, 4870.99Hz 0x1307
Base: E1 7 41.2034Hz, to G♯1, 5160.64Hz 0x1429
Base: E1 7 41.2034Hz, to A1, 5467.51Hz 0x155c
Base: E1 7 41.2034Hz, to A♯1, 5792.63Hz 0x16a1
Base: E1 7 41.2034Hz, to B1, 6137.07Hz 0x17f9
Base: E1 7 41.2034Hz, to C2, 6502Hz 0x1966
Base: E1 7 41.2034Hz, to C♯2, 6888.64Hz 0x1ae9
Base: E1 7 41.2034Hz, to D2, 7298.25Hz 0x1c82
Base: E1 7 41.2034Hz, to D♯2, 7732.22Hz 0x1e34
Base: E1 7 41.2034Hz, to E2, 8192.01Hz 0x2000
Base: E1 7 41.2034Hz, to F2, 8679.13Hz 0x21e7
Base: E1 7 41.2034Hz, to F♯2, 9195.22Hz 0x23eb
Base: E1 7 41.2034Hz, to G2, 9742Hz 0x260e
Base: E1 7 41.2034Hz, to G♯2, 10321.3Hz 0x2851
Base: E1 7 41.2034Hz, to A2, 10935Hz 0x2ab7
Base: E1 7 41.2034Hz, to A♯2, 11585.3Hz 0x2d41
Base: E1 7 41.2034Hz, to B2, 12274.2Hz 0x2ff2
Base: E1 7 41.2034Hz, to C3, 13004Hz 0x32cc
Base: E1 7 41.2034Hz, to C♯3, 13777.2Hz 0x35d1
Base: E1 7 41.2034Hz, to D3, 14596.5Hz 0x3904
Base: E1 7 41.2034Hz, to D♯3, 15464.4Hz 0x3c68
Base: E1 7 41.2034Hz, to E3, 16384Hz 0x3fff
Base: F1 8 43.6535Hz, to A0, 2580.32Hz 0xa14
Base: F1 8 43.6535Hz, to A♯0, 2733.75Hz 0xaae
Base: F1 8 43.6535Hz, to B0, 2896.31Hz 0xb50
Base: F1 8 43.6535Hz, to C1, 3068.54Hz 0xbfd
Base: F1 8 43.6535Hz, to C♯1, 3251Hz 0xcb3
Base: F1 8 43.6535Hz, to D1, 3444.31Hz 0xd74
Base: F1 8 43.6535Hz, to D♯1, 3649.13Hz 0xe41
Base: F1 8 43.6535Hz, to E1, 3866.11Hz 0xf1a
Base: F1 8 43.6535Hz, to F1, 4096Hz 0x1000
Base: F1 8 43.6535Hz, to F♯1, 4339.56Hz 0x10f4
Base: F1 8 43.6535Hz, to G1, 4597.6Hz 0x11f6
Base: F1 8 43.6535Hz, to G♯1, 4871Hz 0x1307
Base: F1 8 43.6535Hz, to A1, 5160.64Hz 0x1429
Base: F1 8 43.6535Hz, to A♯1, 5467.51Hz 0x155c
Base: F1 8 43.6535Hz, to B1, 5792.62Hz 0x16a1
Base: F1 8 43.6535Hz, to C2, 6137.07Hz 0x17f9
Base: F1 8 43.6535Hz, to C♯2, 6502Hz 0x1966
Base: F1 8 43.6535Hz, to D2, 6888.63Hz 0x1ae9
Base: F1 8 43.6535Hz, to D♯2, 7298.24Hz 0x1c82
Base: F1 8 43.6535Hz, to E2, 7732.22Hz 0x1e34
Base: F1 8 43.6535Hz, to F2, 8192.01Hz 0x2000
Base: F1 8 43.6535Hz, to F♯2, 8679.13Hz 0x21e7
Base: F1 8 43.6535Hz, to G2, 9195.22Hz 0x23eb
Base: F1 8 43.6535Hz, to G♯2, 9741.97Hz 0x260e
Base: F1 8 43.6535Hz, to A2, 10321.3Hz 0x2851
Base: F1 8 43.6535Hz, to A♯2, 10935Hz 0x2ab7
Base: F1 8 43.6535Hz, to B2, 11585.3Hz 0x2d41
Base: F1 8 43.6535Hz, to C3, 12274.2Hz 0x2ff2
Base: F1 8 43.6535Hz, to C♯3, 13004Hz 0x32cc
Base: F1 8 43.6535Hz, to D3, 13777.2Hz 0x35d1
Base: F1 8 43.6535Hz, to D♯3, 14596.4Hz 0x3904
Base: F1 8 43.6535Hz, to E3, 15464.5Hz 0x3c68
Base: F1 8 43.6535Hz, to F3, 16384Hz 0x3fff
Base: F♯1 9 46.2493Hz, to A0, 2435.5Hz 0x983
Base: F♯1 9 46.2493Hz, to A♯0, 2580.32Hz 0xa14
Base: F♯1 9 46.2493Hz, to B0, 2733.75Hz 0xaae
Base: F♯1 9 46.2493Hz, to C1, 2896.31Hz 0xb50
Base: F♯1 9 46.2493Hz, to C♯1, 3068.53Hz 0xbfd
Base: F♯1 9 46.2493Hz, to D1, 3251Hz 0xcb3
Base: F♯1 9 46.2493Hz, to D♯1, 3444.31Hz 0xd74
Base: F♯1 9 46.2493Hz, to E1, 3649.12Hz 0xe41
Base: F♯1 9 46.2493Hz, to F1, 3866.11Hz 0xf1a
Base: F♯1 9 46.2493Hz, to F♯1, 4096Hz 0x1000
Base: F♯1 9 46.2493Hz, to G1, 4339.56Hz 0x10f4
Base: F♯1 9 46.2493Hz, to G♯1, 4597.61Hz 0x11f6
Base: F♯1 9 46.2493Hz, to A1, 4870.99Hz 0x1307
Base: F♯1 9 46.2493Hz, to A♯1, 5160.64Hz 0x1429
Base: F♯1 9 46.2493Hz, to B1, 5467.5Hz 0x155c
Base: F♯1 9 46.2493Hz, to C2, 5792.62Hz 0x16a1
Base: F♯1 9 46.2493Hz, to C♯2, 6137.07Hz 0x17f9
Base: F♯1 9 46.2493Hz, to D2, 6502Hz 0x1966
Base: F♯1 9 46.2493Hz, to D♯2, 6888.62Hz 0x1ae9
Base: F♯1 9 46.2493Hz, to E2, 7298.24Hz 0x1c82
Base: F♯1 9 46.2493Hz, to F2, 7732.22Hz 0x1e34
Base: F♯1 9 46.2493Hz, to F♯2, 8192Hz 0x2000
Base: F♯1 9 46.2493Hz, to G2, 8679.13Hz 0x21e7
Base: F♯1 9 46.2493Hz, to G♯2, 9195.19Hz 0x23eb
Base: F♯1 9 46.2493Hz, to A2, 9741.99Hz 0x260e
Base: F♯1 9 46.2493Hz, to A♯2, 10321.3Hz 0x2851
Base: F♯1 9 46.2493Hz, to B2, 10935Hz 0x2ab7
Base: F♯1 9 46.2493Hz, to C3, 11585.3Hz 0x2d41
Base: F♯1 9 46.2493Hz, to C♯3, 12274.1Hz 0x2ff2
Base: F♯1 9 46.2493Hz, to D3, 13004Hz 0x32cc
Base: F♯1 9 46.2493Hz, to D♯3, 13777.2Hz 0x35d1
Base: F♯1 9 46.2493Hz, to E3, 14596.5Hz 0x3905
Base: F♯1 9 46.2493Hz, to F3, 15464.4Hz 0x3c68
Base: F♯1 9 46.2493Hz, to F♯3, 16384Hz 0x3fff
Base: G1 10 48.9994Hz, to A0, 2298.8Hz 0x8fb
Base: G1 10 48.9994Hz, to A♯0, 2435.49Hz 0x983
Base: G1 10 48.9994Hz, to B0, 2580.32Hz 0xa14
Base: G1 10 48.9994Hz, to C1, 2733.75Hz 0xaae
Base: G1 10 48.9994Hz, to C♯1, 2896.31Hz 0xb50
Base: G1 10 48.9994Hz, to D1, 3068.53Hz 0xbfd
Base: G1 10 48.9994Hz, to D♯1, 3251Hz 0xcb3
Base: G1 10 48.9994Hz, to E1, 3444.31Hz 0xd74
Base: G1 10 48.9994Hz, to F1, 3649.12Hz 0xe41
Base: G1 10 48.9994Hz, to F♯1, 3866.11Hz 0xf1a
Base: G1 10 48.9994Hz, to G1, 4096Hz 0x1000
Base: G1 10 48.9994Hz, to G♯1, 4339.56Hz 0x10f4
Base: G1 10 48.9994Hz, to A1, 4597.61Hz 0x11f6
Base: G1 10 48.9994Hz, to A♯1, 4871Hz 0x1307
Base: G1 10 48.9994Hz, to B1, 5160.64Hz 0x1429
Base: G1 10 48.9994Hz, to C2, 5467.51Hz 0x155c
Base: G1 10 48.9994Hz, to C♯2, 5792.63Hz 0x16a1
Base: G1 10 48.9994Hz, to D2, 6137.07Hz 0x17f9
Base: G1 10 48.9994Hz, to D♯2, 6501.99Hz 0x1966
Base: G1 10 48.9994Hz, to E2, 6888.63Hz 0x1ae9
Base: G1 10 48.9994Hz, to F2, 7298.25Hz 0x1c82
Base: G1 10 48.9994Hz, to F♯2, 7732.22Hz 0x1e34
Base: G1 10 48.9994Hz, to G2, 8192.01Hz 0x2000
Base: G1 10 48.9994Hz, to G♯2, 8679.11Hz 0x21e7
Base: G1 10 48.9994Hz, to A2, 9195.21Hz 0x23eb
Base: G1 10 48.9994Hz, to A♯2, 9742Hz 0x260e
Base: G1 10 48.9994Hz, to B2, 10321.3Hz 0x2851
Base: G1 10 48.9994Hz, to C3, 10935Hz 0x2ab7
Base: G1 10 48.9994Hz, to C♯3, 11585.2Hz 0x2d41
Base: G1 10 48.9994Hz, to D3, 12274.1Hz 0x2ff2
Base: G1 10 48.9994Hz, to D♯3, 13004Hz 0x32cc
Base: G1 10 48.9994Hz, to E3, 13777.3Hz 0x35d1
Base: G1 10 48.9994Hz, to F3, 14596.5Hz 0x3904
Base: G1 10 48.9994Hz, to F♯3, 15464.4Hz 0x3c68
Base: G1 10 48.9994Hz, to G3, 16384Hz 0x3fff
Base: G♯1 11 51.9131Hz, to A0, 2169.78Hz 0x87a
Base: G♯1 11 51.9131Hz, to A♯0, 2298.8Hz 0x8fb
Base: G♯1 11 51.9131Hz, to B0, 2435.5Hz 0x983
Base: G♯1 11 51.9131Hz, to C1, 2580.32Hz 0xa14
Base: G♯1 11 51.9131Hz, to C♯1, 2733.75Hz 0xaae
Base: G♯1 11 51.9131Hz, to D1, 2896.31Hz 0xb50
Base: G♯1 11 51.9131Hz, to D♯1, 3068.53Hz 0xbfd
Base: G♯1 11 51.9131Hz, to E1, 3250.99Hz 0xcb3
Base: G♯1 11 51.9131Hz, to F1, 3444.31Hz 0xd74
Base: G♯1 11 51.9131Hz, to F♯1, 3649.12Hz 0xe41
Base: G♯1 11 51.9131Hz, to G1, 3866.11Hz 0xf1a
Base: G♯1 11 51.9131Hz, to G♯1, 4096Hz 0x1000
Base: G♯1 11 51.9131Hz, to A1, 4339.56Hz 0x10f4
Base: G♯1 11 51.9131Hz, to A♯1, 4597.61Hz 0x11f6
Base: G♯1 11 51.9131Hz, to B1, 4870.99Hz 0x1307
Base: G♯1 11 51.9131Hz, to C2, 5160.64Hz 0x1429
Base: G♯1 11 51.9131Hz, to C♯2, 5467.51Hz 0x155c
Base: G♯1 11 51.9131Hz, to D2, 5792.62Hz 0x16a1
Base: G♯1 11 51.9131Hz, to D♯2, 6137.06Hz 0x17f9
Base: G♯1 11 51.9131Hz, to E2, 6501.99Hz 0x1966
Base: G♯1 11 51.9131Hz, to F2, 6888.62Hz 0x1ae9
Base: G♯1 11 51.9131Hz, to F♯2, 7298.24Hz 0x1c82
Base: G♯1 11 51.9131Hz, to G2, 7732.22Hz 0x1e34
Base: G♯1 11 51.9131Hz, to G♯2, 8191.98Hz 0x2000
Base: G♯1 11 51.9131Hz, to A2, 8679.12Hz 0x21e7
Base: G♯1 11 51.9131Hz, to A♯2, 9195.21Hz 0x23eb
Base: G♯1 11 51.9131Hz, to B2, 9742Hz 0x260e
Base: G♯1 11 51.9131Hz, to C3, 10321.3Hz 0x2851
Base: G♯1 11 51.9131Hz, to C♯3, 10935Hz 0x2ab7
Base: G♯1 11 51.9131Hz, to D3, 11585.2Hz 0x2d41
Base: G♯1 11 51.9131Hz, to D♯3, 12274.1Hz 0x2ff2
Base: G♯1 11 51.9131Hz, to E3, 13004Hz 0x32cc
Base: G♯1 11 51.9131Hz, to F3, 13777.2Hz 0x35d1
Base: G♯1 11 51.9131Hz, to F♯3, 14596.5Hz 0x3904
Base: G♯1 11 51.9131Hz, to G3, 15464.5Hz 0x3c68
Base: G♯1 11 51.9131Hz, to G♯3, 16384Hz 0x3fff
Base: A1 12 55Hz, to A0, 2048Hz 0x800
Base: A1 12 55Hz, to A♯0, 2169.78Hz 0x87a
Base: A1 12 55Hz, to B0, 2298.8Hz 0x8fb
Base: A1 12 55Hz, to C1, 2435.5Hz 0x983
Base: A1 12 55Hz, to C♯1, 2580.32Hz 0xa14
Base: A1 12 55Hz, to D1, 2733.75Hz 0xaae
Base: A1 12 55Hz, to D♯1, 2896.31Hz 0xb50
Base: A1 12 55Hz, to E1, 3068.53Hz 0xbfd
Base: A1 12 55Hz, to F1, 3251Hz 0xcb3
Base: A1 12 55Hz, to F♯1, 3444.31Hz 0xd74
Base: A1 12 55Hz, to G1, 3649.12Hz 0xe41
Base: A1 12 55Hz, to G♯1, 3866.11Hz 0xf1a
Base: A1 12 55Hz, to A1, 4096Hz 0x1000
Base: A1 12 55Hz, to A♯1, 4339.56Hz 0x10f4
Base: A1 12 55Hz, to B1, 4597.6Hz 0x11f6
Base: A1 12 55Hz, to C2, 4870.99Hz 0x1307
Base: A1 12 55Hz, to C♯2, 5160.64Hz 0x1429
Base: A1 12 55Hz, to D2, 5467.5Hz 0x155c
Base: A1 12 55Hz, to D♯2, 5792.62Hz 0x16a1
Base: A1 12 55Hz, to E2, 6137.07Hz 0x17f9
Base: A1 12 55Hz, to F2, 6502Hz 0x1966
Base: A1 12 55Hz, to F♯2, 6888.62Hz 0x1ae9
Base: A1 12 55Hz, to G2, 7298.25Hz 0x1c82
Base: A1 12 55Hz, to G♯2, 7732.21Hz 0x1e34
Base: A1 12 55Hz, to A2, 8192Hz 0x2000
